promoted,ties,points,goals_against,name,relegated,goal_diff,goals_scored,losses,o_rating,global_d,current_wins,current_losses,wins,win_league,global_rating,sdr_id,make_europa,position_1,id,make_champs,global_o,make_playoffs,d_rating,current_points,code,current_ties,current_time,last_updated
0.0,13.0,35.0,49.0,Foggia,1.0,-5.0,44.0,13.0,1.08503,1.6835900000000001,10.0,13.0,10.0,0.0,25.70017,84689,0.0,0.0,4054,0.0,0.8043100000000001,0.0,1.40287,35.0,FOG,13.0,2019-06-07 01:00,2019-06-05 20:44
0.0,16.0,31.0,49.0,Padova,1.0,-13.0,36.0,15.0,0.91607,1.7438599999999995,5.0,15.0,5.0,0.0,20.662670000000002,84691,0.0,0.0,3952,0.0,0.63535,0.0,1.4631399999999999,31.0,PAD,16.0,2019-06-07 01:00,2019-06-05 20:44
0.0,13.0,43.0,56.0,Ascoli,0.0,-16.0,40.0,13.0,0.94889,1.86841,10.0,13.0,10.0,0.0,19.72525,73887,0.0,0.0,3346,0.0,0.6681699999999999,0.0,1.58769,43.0,ASC,13.0,2019-06-07 01:00,2019-06-05 20:44
0.0,8.0,29.0,67.0,Carpi,1.0,-28.0,39.0,21.0,1.01476,2.12756,7.0,21.0,7.0,0.0,17.894379999999995,98965,0.0,0.0,11126,0.0,0.7340399999999999,0.0,1.84684,29.0,CAR,8.0,2019-06-07 01:00,2019-06-05 20:44
1.0,13.0,52.0,46.0,Verona,0.0,3.0,49.0,10.0,1.19685,1.53302,13.0,10.0,13.0,0.0,31.122729999999997,73892,0.0,0.0,119,0.0,0.9161299999999999,1.0,1.2523,52.0,HEL,13.0,2019-06-07 01:00,2019-06-05 20:44
0.0,8.0,50.0,49.0,Perugia,0.0,0.0,49.0,14.0,1.21241,1.61306,14.0,14.0,14.0,0.0,30.05802000000001,73864,0.0,0.0,116,0.0,0.93169,1.0,1.3323399999999999,50.0,PER,8.0,2019-06-07 01:00,2019-06-05 20:44
1.0,9.0,66.0,45.0,Lecce,0.0,21.0,66.0,8.0,1.27748,1.50573,19.0,8.0,19.0,0.0,33.68894,73898,0.0,0.0,113,0.0,0.9967600000000001,0.0,1.22501,66.0,LEC,9.0,2019-06-07 01:00,2019-06-05 20:44
0.0,10.0,43.0,42.0,Crotone,0.0,-2.0,40.0,15.0,1.16434,1.53237,11.0,15.0,11.0,0.0,30.304040000000004,73875,0.0,0.0,3173,0.0,0.8836200000000001,0.0,1.25165,43.0,CRO,10.0,2019-06-07 01:00,2019-06-05 20:44
0.0,13.0,46.0,42.0,Cosenza,0.0,-8.0,34.0,12.0,1.06179,1.52358,11.0,12.0,11.0,0.0,27.816129999999998,93083,0.0,0.0,8683,0.0,0.7810699999999999,0.0,1.24286,46.0,COS,13.0,2019-06-07 01:00,2019-06-05 20:44
0.0,12.0,39.0,51.0,Livorno,0.0,-13.0,38.0,15.0,0.9921,1.8035,9.0,15.0,9.0,0.0,21.6281,73841,0.0,0.0,2926,0.0,0.71138,0.0,1.52278,39.0,LVO,12.0,2019-06-07 01:00,2019-06-05 20:44
0.0,8.0,38.0,57.0,Salernitana,0.41691999999999996,-16.0,41.0,18.0,1.0441799999999999,1.84618,10.0,18.0,10.0,0.0,22.233829999999998,73860,0.0,0.0,3240,0.0,0.76346,0.0,1.56546,38.0,SAL,8.0,2019-06-07 01:00,2019-06-05 20:44
0.0,13.0,55.0,46.0,US Pescara,0.0,4.0,50.0,9.0,1.044,1.79455,14.0,9.0,14.0,0.0,22.985120000000002,73894,0.0,0.0,3290,0.0,0.7632800000000001,1.0,1.51383,55.0,PES,13.0,2019-06-07 01:00,2019-06-05 20:44
0.0,9.0,60.0,45.0,Benevento,0.0,16.0,61.0,10.0,1.30365,1.57338,17.0,10.0,17.0,0.0,33.05516,73854,0.0,0.0,4059,0.0,1.02293,1.0,1.2926600000000001,60.0,BEN,9.0,2019-06-07 01:00,2019-06-05 20:44
0.0,13.0,49.0,33.0,Cremonese,0.0,4.0,37.0,11.0,0.93509,1.4418799999999998,12.0,11.0,12.0,0.0,25.87943,73886,0.0,0.0,4050,0.0,0.65437,0.0,1.16116,49.0,CRE,13.0,2019-06-07 01:00,2019-06-05 20:44
0.0,15.0,51.0,38.0,Cittadella,0.0,11.0,49.0,9.0,1.29046,1.59358,12.0,9.0,12.0,0.0,32.3504,73877,0.0,0.0,3943,0.0,1.0097399999999999,1.0,1.3128600000000001,51.0,CITT,15.0,2019-06-07 01:00,2019-06-05 20:44
0.0,9.0,51.0,46.0,Spezia,0.0,7.0,53.0,13.0,1.2380799999999998,1.6861400000000002,14.0,13.0,14.0,0.0,29.40152,73895,0.0,0.0,4056,0.0,0.95736,1.0,1.4054200000000001,51.0,SPEZ,9.0,2019-06-07 01:00,2019-06-05 20:44
1.0,13.0,67.0,42.0,Brescia,0.0,27.0,69.0,5.0,1.4388100000000001,1.55072,18.0,5.0,18.0,1.0,36.82135,73851,0.0,1.0,108,0.0,1.15809,0.0,1.27,67.0,BRS,13.0,2019-06-07 01:00,2019-06-05 20:44
0.0,14.0,38.0,46.0,F.B.C Unione Venezia,0.58308,-11.0,35.0,14.0,0.9495299999999999,1.7599,8.0,14.0,8.0,0.0,21.23961,78348,0.0,0.0,17530,0.0,0.66881,0.0,1.47918,38.0,VEN,14.0,2019-06-07 01:00,2019-06-05 20:44
0.0,15.0,43.0,38.0,Palermo,0.0,19.0,57.0,5.0,1.35321,1.55198,16.0,5.0,16.0,0.0,34.69234,73840,0.0,0.0,2923,0.0,1.07249,0.0,1.27126,43.0,PAL,15.0,2019-06-06 01:01,2019-06-05 20:44
0.0,13.0,35.0,49.0,Foggia,1.0,-5.0,44.0,13.0,1.08503,1.68359,10.0,13.0,10.0,0.0,25.70017,84689,0.0,0.0,4054,0.0,0.8043100000000001,0.0,1.40287,35.0,FOG,13.0,2019-06-06 01:01,2019-06-05 20:44
0.0,16.0,31.0,49.0,Padova,1.0,-13.0,36.0,15.0,0.91607,1.7438599999999995,5.0,15.0,5.0,0.0,20.66267,84691,0.0,0.0,3952,0.0,0.63535,0.0,1.46314,31.0,PAD,16.0,2019-06-06 01:01,2019-06-05 20:44
0.0,13.0,43.0,56.0,Ascoli,0.0,-16.0,40.0,13.0,0.94889,1.86841,10.0,13.0,10.0,0.0,19.72525,73887,0.0,0.0,3346,0.0,0.6681699999999999,0.0,1.58769,43.0,ASC,13.0,2019-06-06 01:01,2019-06-05 20:44
0.0,8.0,29.0,67.0,Carpi,1.0,-28.0,39.0,21.0,1.01476,2.12756,7.0,21.0,7.0,0.0,17.894379999999995,98965,0.0,0.0,11126,0.0,0.7340399999999999,0.0,1.84684,29.0,CAR,8.0,2019-06-06 01:01,2019-06-05 20:44
1.0,13.0,52.0,46.0,Verona,0.0,3.0,49.0,10.0,1.19685,1.53302,13.0,10.0,13.0,0.0,31.12273,73892,0.0,0.0,119,0.0,0.91613,1.0,1.2523,52.0,HEL,13.0,2019-06-06 01:01,2019-06-05 20:44
0.0,8.0,50.0,49.0,Perugia,0.0,0.0,49.0,14.0,1.21241,1.61306,14.0,14.0,14.0,0.0,30.05802000000001,73864,0.0,0.0,116,0.0,0.93169,1.0,1.33234,50.0,PER,8.0,2019-06-06 01:01,2019-06-05 20:44
1.0,9.0,66.0,45.0,Lecce,0.0,21.0,66.0,8.0,1.27748,1.50573,19.0,8.0,19.0,0.0,33.68894,73898,0.0,0.0,113,0.0,0.99676,0.0,1.22501,66.0,LEC,9.0,2019-06-06 01:01,2019-06-05 20:44
0.0,10.0,43.0,42.0,Crotone,0.0,-2.0,40.0,15.0,1.16434,1.53237,11.0,15.0,11.0,0.0,30.304040000000004,73875,0.0,0.0,3173,0.0,0.8836200000000001,0.0,1.25165,43.0,CRO,10.0,2019-06-06 01:01,2019-06-05 20:44
0.0,13.0,46.0,42.0,Cosenza,0.0,-8.0,34.0,12.0,1.06179,1.52358,11.0,12.0,11.0,0.0,27.81613,93083,0.0,0.0,8683,0.0,0.7810699999999999,0.0,1.24286,46.0,COS,13.0,2019-06-06 01:01,2019-06-05 20:44
0.0,12.0,39.0,51.0,Livorno,0.0,-13.0,38.0,15.0,0.9921,1.8035,9.0,15.0,9.0,0.0,21.6281,73841,0.0,0.0,2926,0.0,0.71138,0.0,1.52278,39.0,LVO,12.0,2019-06-06 01:01,2019-06-05 20:44
0.0,8.0,38.0,57.0,Salernitana,0.41692,-16.0,41.0,18.0,1.04418,1.84618,10.0,18.0,10.0,0.0,22.23383,73860,0.0,0.0,3240,0.0,0.76346,0.0,1.56546,38.0,SAL,8.0,2019-06-06 01:01,2019-06-05 20:44
0.0,13.0,55.0,46.0,US Pescara,0.0,4.0,50.0,9.0,1.044,1.79455,14.0,9.0,14.0,0.0,22.98512,73894,0.0,0.0,3290,0.0,0.7632800000000001,1.0,1.51383,55.0,PES,13.0,2019-06-06 01:01,2019-06-05 20:44
0.0,9.0,60.0,45.0,Benevento,0.0,16.0,61.0,10.0,1.30365,1.57338,17.0,10.0,17.0,0.0,33.05516,73854,0.0,0.0,4059,0.0,1.02293,1.0,1.29266,60.0,BEN,9.0,2019-06-06 01:01,2019-06-05 20:44
0.0,13.0,49.0,33.0,Cremonese,0.0,4.0,37.0,11.0,0.93509,1.4418799999999998,12.0,11.0,12.0,0.0,25.87943,73886,0.0,0.0,4050,0.0,0.65437,0.0,1.16116,49.0,CRE,13.0,2019-06-06 01:01,2019-06-05 20:44
0.0,15.0,51.0,38.0,Cittadella,0.0,11.0,49.0,9.0,1.29046,1.59358,12.0,9.0,12.0,0.0,32.3504,73877,0.0,0.0,3943,0.0,1.00974,1.0,1.31286,51.0,CITT,15.0,2019-06-06 01:01,2019-06-05 20:44
0.0,9.0,51.0,46.0,Spezia,0.0,7.0,53.0,13.0,1.2380799999999998,1.6861400000000002,14.0,13.0,14.0,0.0,29.40152,73895,0.0,0.0,4056,0.0,0.95736,1.0,1.40542,51.0,SPEZ,9.0,2019-06-06 01:01,2019-06-05 20:44
1.0,13.0,67.0,42.0,Brescia,0.0,27.0,69.0,5.0,1.43881,1.55072,18.0,5.0,18.0,1.0,36.82135,73851,0.0,1.0,108,0.0,1.15809,0.0,1.27,67.0,BRS,13.0,2019-06-06 01:01,2019-06-05 20:44
0.0,14.0,38.0,46.0,F.B.C Unione Venezia,0.58308,-11.0,35.0,14.0,0.94953,1.7599,8.0,14.0,8.0,0.0,21.23961,78348,0.0,0.0,17530,0.0,0.66881,0.0,1.47918,38.0,VEN,14.0,2019-06-06 01:01,2019-06-05 20:44
0.0,15.0,43.0,38.0,Palermo,0.0,19.0,57.0,5.0,1.35321,1.55198,16.0,5.0,16.0,0.0,34.69234,73840,0.0,0.0,2923,0.0,1.07249,0.0,1.27126,43.0,PAL,15.0,2019-06-06 01:01,2019-06-05 20:44
0.0,13.0,35.0,49.0,Foggia,1.0,-5.0,44.0,13.0,1.08503,1.6835900000000001,10.0,13.0,10.0,0.0,25.70017,84689,0.0,0.0,4054,0.0,0.8043100000000001,0.0,1.40287,35.0,FOG,13.0,2019-06-06 01:01,2019-06-05 20:44
0.0,16.0,31.0,49.0,Padova,1.0,-13.0,36.0,15.0,0.91607,1.7438599999999995,5.0,15.0,5.0,0.0,20.662670000000002,84691,0.0,0.0,3952,0.0,0.63535,0.0,1.4631399999999999,31.0,PAD,16.0,2019-06-06 01:01,2019-06-05 20:44
0.0,13.0,43.0,56.0,Ascoli,0.0,-16.0,40.0,13.0,0.94889,1.86841,10.0,13.0,10.0,0.0,19.72525,73887,0.0,0.0,3346,0.0,0.6681699999999999,0.0,1.58769,43.0,ASC,13.0,2019-06-06 01:01,2019-06-05 20:44
0.0,8.0,29.0,67.0,Carpi,1.0,-28.0,39.0,21.0,1.01476,2.12756,7.0,21.0,7.0,0.0,17.894379999999995,98965,0.0,0.0,11126,0.0,0.7340399999999999,0.0,1.84684,29.0,CAR,8.0,2019-06-06 01:01,2019-06-05 20:44
1.0,13.0,52.0,46.0,Verona,0.0,3.0,49.0,10.0,1.19685,1.53302,13.0,10.0,13.0,0.0,31.122729999999997,73892,0.0,0.0,119,0.0,0.9161299999999999,1.0,1.2523,52.0,HEL,13.0,2019-06-06 01:01,2019-06-05 20:44
0.0,8.0,50.0,49.0,Perugia,0.0,0.0,49.0,14.0,1.21241,1.61306,14.0,14.0,14.0,0.0,30.05802000000001,73864,0.0,0.0,116,0.0,0.93169,1.0,1.3323399999999999,50.0,PER,8.0,2019-06-06 01:01,2019-06-05 20:44
1.0,9.0,66.0,45.0,Lecce,0.0,21.0,66.0,8.0,1.27748,1.50573,19.0,8.0,19.0,0.0,33.68894,73898,0.0,0.0,113,0.0,0.9967600000000001,0.0,1.22501,66.0,LEC,9.0,2019-06-06 01:01,2019-06-05 20:44
0.0,10.0,43.0,42.0,Crotone,0.0,-2.0,40.0,15.0,1.16434,1.53237,11.0,15.0,11.0,0.0,30.304040000000004,73875,0.0,0.0,3173,0.0,0.8836200000000001,0.0,1.25165,43.0,CRO,10.0,2019-06-06 01:01,2019-06-05 20:44
0.0,13.0,46.0,42.0,Cosenza,0.0,-8.0,34.0,12.0,1.06179,1.52358,11.0,12.0,11.0,0.0,27.816129999999998,93083,0.0,0.0,8683,0.0,0.7810699999999999,0.0,1.24286,46.0,COS,13.0,2019-06-06 01:01,2019-06-05 20:44
0.0,12.0,39.0,51.0,Livorno,0.0,-13.0,38.0,15.0,0.9921,1.8035,9.0,15.0,9.0,0.0,21.6281,73841,0.0,0.0,2926,0.0,0.71138,0.0,1.52278,39.0,LVO,12.0,2019-06-06 01:01,2019-06-05 20:44
0.0,8.0,38.0,57.0,Salernitana,0.41691999999999996,-16.0,41.0,18.0,1.0441799999999999,1.84618,10.0,18.0,10.0,0.0,22.233829999999998,73860,0.0,0.0,3240,0.0,0.76346,0.0,1.56546,38.0,SAL,8.0,2019-06-06 01:01,2019-06-05 20:44
0.0,13.0,55.0,46.0,US Pescara,0.0,4.0,50.0,9.0,1.044,1.79455,14.0,9.0,14.0,0.0,22.985120000000002,73894,0.0,0.0,3290,0.0,0.7632800000000001,1.0,1.51383,55.0,PES,13.0,2019-06-06 01:01,2019-06-05 20:44
0.0,9.0,60.0,45.0,Benevento,0.0,16.0,61.0,10.0,1.30365,1.57338,17.0,10.0,17.0,0.0,33.05516,73854,0.0,0.0,4059,0.0,1.02293,1.0,1.2926600000000001,60.0,BEN,9.0,2019-06-06 01:01,2019-06-05 20:44
0.0,13.0,49.0,33.0,Cremonese,0.0,4.0,37.0,11.0,0.93509,1.4418799999999998,12.0,11.0,12.0,0.0,25.87943,73886,0.0,0.0,4050,0.0,0.65437,0.0,1.16116,49.0,CRE,13.0,2019-06-06 01:01,2019-06-05 20:44
0.0,15.0,51.0,38.0,Cittadella,0.0,11.0,49.0,9.0,1.29046,1.59358,12.0,9.0,12.0,0.0,32.3504,73877,0.0,0.0,3943,0.0,1.0097399999999999,1.0,1.3128600000000001,51.0,CITT,15.0,2019-06-06 01:01,2019-06-05 20:44
0.0,9.0,51.0,46.0,Spezia,0.0,7.0,53.0,13.0,1.2380799999999998,1.6861400000000002,14.0,13.0,14.0,0.0,29.40152,73895,0.0,0.0,4056,0.0,0.95736,1.0,1.4054200000000001,51.0,SPEZ,9.0,2019-06-06 01:01,2019-06-05 20:44
1.0,13.0,67.0,42.0,Brescia,0.0,27.0,69.0,5.0,1.4388100000000001,1.55072,18.0,5.0,18.0,1.0,36.82135,73851,0.0,1.0,108,0.0,1.15809,0.0,1.27,67.0,BRS,13.0,2019-06-06 01:01,2019-06-05 20:44
0.0,14.0,38.0,46.0,F.B.C Unione Venezia,0.58308,-11.0,35.0,14.0,0.9495299999999999,1.7599,8.0,14.0,8.0,0.0,21.23961,78348,0.0,0.0,17530,0.0,0.66881,0.0,1.47918,38.0,VEN,14.0,2019-06-06 01:01,2019-06-05 20:44
0.0,15.0,43.0,38.0,Palermo,0.0,19.0,57.0,5.0,1.35321,1.55198,16.0,5.0,16.0,0.0,34.69234,73840,0.0,0.0,2923,0.0,1.07249,0.0,1.27126,43.0,PAL,15.0,2019-06-05 01:01,2019-06-02 21:15
0.0,13.0,35.0,49.0,Foggia,1.0,-5.0,44.0,13.0,1.08503,1.68359,10.0,13.0,10.0,0.0,25.70017,84689,0.0,0.0,4054,0.0,0.8043100000000001,0.0,1.40287,35.0,FOG,13.0,2019-06-05 01:01,2019-06-02 21:15
0.0,16.0,31.0,49.0,Padova,1.0,-13.0,36.0,15.0,0.91607,1.7438599999999995,5.0,15.0,5.0,0.0,20.66267,84691,0.0,0.0,3952,0.0,0.63535,0.0,1.46314,31.0,PAD,16.0,2019-06-05 01:01,2019-06-02 21:15
0.0,13.0,43.0,56.0,Ascoli,0.0,-16.0,40.0,13.0,0.94889,1.86841,10.0,13.0,10.0,0.0,19.72525,73887,0.0,0.0,3346,0.0,0.6681699999999999,0.0,1.58769,43.0,ASC,13.0,2019-06-05 01:01,2019-06-02 21:15
0.0,8.0,29.0,67.0,Carpi,1.0,-28.0,39.0,21.0,1.01476,2.12756,7.0,21.0,7.0,0.0,17.894379999999995,98965,0.0,0.0,11126,0.0,0.7340399999999999,0.0,1.84684,29.0,CAR,8.0,2019-06-05 01:01,2019-06-02 21:15
1.0,13.0,52.0,46.0,Verona,0.0,3.0,49.0,10.0,1.19685,1.53302,13.0,10.0,13.0,0.0,31.12273,73892,0.0,0.0,119,0.0,0.91613,1.0,1.2523,52.0,HEL,13.0,2019-06-05 01:01,2019-06-02 21:15
0.0,8.0,50.0,49.0,Perugia,0.0,0.0,49.0,14.0,1.21241,1.61306,14.0,14.0,14.0,0.0,30.05802000000001,73864,0.0,0.0,116,0.0,0.93169,1.0,1.33234,50.0,PER,8.0,2019-06-05 01:01,2019-06-02 21:15
1.0,9.0,66.0,45.0,Lecce,0.0,21.0,66.0,8.0,1.27748,1.50573,19.0,8.0,19.0,0.0,33.68894,73898,0.0,0.0,113,0.0,0.99676,0.0,1.22501,66.0,LEC,9.0,2019-06-05 01:01,2019-06-02 21:15
0.0,10.0,43.0,42.0,Crotone,0.0,-2.0,40.0,15.0,1.16434,1.53237,11.0,15.0,11.0,0.0,30.304040000000004,73875,0.0,0.0,3173,0.0,0.8836200000000001,0.0,1.25165,43.0,CRO,10.0,2019-06-05 01:01,2019-06-02 21:15
0.0,13.0,46.0,42.0,Cosenza,0.0,-8.0,34.0,12.0,1.06179,1.52358,11.0,12.0,11.0,0.0,27.81613,93083,0.0,0.0,8683,0.0,0.7810699999999999,0.0,1.24286,46.0,COS,13.0,2019-06-05 01:01,2019-06-02 21:15
0.0,12.0,39.0,51.0,Livorno,0.0,-13.0,38.0,15.0,0.9921,1.8035,9.0,15.0,9.0,0.0,21.6281,73841,0.0,0.0,2926,0.0,0.71138,0.0,1.52278,39.0,LVO,12.0,2019-06-05 01:01,2019-06-02 21:15
0.0,8.0,38.0,57.0,Salernitana,0.56792,-16.0,41.0,18.0,1.06174,1.8387,10.0,18.0,10.0,0.0,22.75069,73860,0.0,0.0,3240,0.0,0.7810199999999999,0.0,1.55798,38.0,SAL,8.0,2019-06-05 01:01,2019-06-02 21:15
0.0,13.0,55.0,46.0,US Pescara,0.0,4.0,50.0,9.0,1.044,1.79455,14.0,9.0,14.0,0.0,22.98512,73894,0.0,0.0,3290,0.0,0.7632800000000001,1.0,1.51383,55.0,PES,13.0,2019-06-05 01:01,2019-06-02 21:15
0.0,9.0,60.0,45.0,Benevento,0.0,16.0,61.0,10.0,1.30365,1.57338,17.0,10.0,17.0,0.0,33.05516,73854,0.0,0.0,4059,0.0,1.02293,1.0,1.29266,60.0,BEN,9.0,2019-06-05 01:01,2019-06-02 21:15
0.0,13.0,49.0,33.0,Cremonese,0.0,4.0,37.0,11.0,0.93509,1.4418799999999998,12.0,11.0,12.0,0.0,25.87943,73886,0.0,0.0,4050,0.0,0.65437,0.0,1.16116,49.0,CRE,13.0,2019-06-05 01:01,2019-06-02 21:15
0.0,15.0,51.0,38.0,Cittadella,0.0,11.0,49.0,9.0,1.29046,1.59358,12.0,9.0,12.0,0.0,32.3504,73877,0.0,0.0,3943,0.0,1.00974,1.0,1.31286,51.0,CITT,15.0,2019-06-05 01:01,2019-06-02 21:15
0.0,9.0,51.0,46.0,Spezia,0.0,7.0,53.0,13.0,1.2380799999999998,1.6861400000000002,14.0,13.0,14.0,0.0,29.40152,73895,0.0,0.0,4056,0.0,0.95736,1.0,1.40542,51.0,SPEZ,9.0,2019-06-05 01:01,2019-06-02 21:15
1.0,13.0,67.0,42.0,Brescia,0.0,27.0,69.0,5.0,1.43881,1.55072,18.0,5.0,18.0,1.0,36.82135,73851,0.0,1.0,108,0.0,1.15809,0.0,1.27,67.0,BRS,13.0,2019-06-05 01:01,2019-06-02 21:15
0.0,14.0,38.0,46.0,F.B.C Unione Venezia,0.43208,-11.0,35.0,14.0,0.94424,1.78226,8.0,14.0,8.0,0.0,20.79636,78348,0.0,0.0,17530,0.0,0.66352,0.0,1.50154,38.0,VEN,14.0,2019-06-05 01:01,2019-06-02 21:15
0.0,15.0,43.0,38.0,Palermo,0.0,19.0,57.0,5.0,1.35321,1.55198,16.0,5.0,16.0,0.0,34.69234,73840,0.0,0.0,2923,0.0,1.07249,0.0,1.27126,43.0,PAL,15.0,2019-06-04 01:01,2019-06-02 21:15
0.0,13.0,35.0,49.0,Foggia,1.0,-5.0,44.0,13.0,1.08503,1.6835900000000001,10.0,13.0,10.0,0.0,25.70017,84689,0.0,0.0,4054,0.0,0.8043100000000001,0.0,1.40287,35.0,FOG,13.0,2019-06-04 01:01,2019-06-02 21:15
0.0,16.0,31.0,49.0,Padova,1.0,-13.0,36.0,15.0,0.91607,1.7438599999999995,5.0,15.0,5.0,0.0,20.662670000000002,84691,0.0,0.0,3952,0.0,0.63535,0.0,1.4631399999999999,31.0,PAD,16.0,2019-06-04 01:01,2019-06-02 21:15
0.0,13.0,43.0,56.0,Ascoli,0.0,-16.0,40.0,13.0,0.94889,1.86841,10.0,13.0,10.0,0.0,19.72525,73887,0.0,0.0,3346,0.0,0.6681699999999999,0.0,1.58769,43.0,ASC,13.0,2019-06-04 01:01,2019-06-02 21:15
0.0,8.0,29.0,67.0,Carpi,1.0,-28.0,39.0,21.0,1.01476,2.12756,7.0,21.0,7.0,0.0,17.894379999999995,98965,0.0,0.0,11126,0.0,0.7340399999999999,0.0,1.84684,29.0,CAR,8.0,2019-06-04 01:01,2019-06-02 21:15
1.0,13.0,52.0,46.0,Verona,0.0,3.0,49.0,10.0,1.19685,1.53302,13.0,10.0,13.0,0.0,31.122729999999997,73892,0.0,0.0,119,0.0,0.9161299999999999,1.0,1.2523,52.0,HEL,13.0,2019-06-04 01:01,2019-06-02 21:15
0.0,8.0,50.0,49.0,Perugia,0.0,0.0,49.0,14.0,1.21241,1.61306,14.0,14.0,14.0,0.0,30.05802000000001,73864,0.0,0.0,116,0.0,0.93169,1.0,1.3323399999999999,50.0,PER,8.0,2019-06-04 01:01,2019-06-02 21:15
1.0,9.0,66.0,45.0,Lecce,0.0,21.0,66.0,8.0,1.27748,1.50573,19.0,8.0,19.0,0.0,33.68894,73898,0.0,0.0,113,0.0,0.9967600000000001,0.0,1.22501,66.0,LEC,9.0,2019-06-04 01:01,2019-06-02 21:15
0.0,10.0,43.0,42.0,Crotone,0.0,-2.0,40.0,15.0,1.16434,1.53237,11.0,15.0,11.0,0.0,30.304040000000004,73875,0.0,0.0,3173,0.0,0.8836200000000001,0.0,1.25165,43.0,CRO,10.0,2019-06-04 01:01,2019-06-02 21:15
0.0,13.0,46.0,42.0,Cosenza,0.0,-8.0,34.0,12.0,1.06179,1.52358,11.0,12.0,11.0,0.0,27.816129999999998,93083,0.0,0.0,8683,0.0,0.7810699999999999,0.0,1.24286,46.0,COS,13.0,2019-06-04 01:01,2019-06-02 21:15
0.0,12.0,39.0,51.0,Livorno,0.0,-13.0,38.0,15.0,0.9921,1.8035,9.0,15.0,9.0,0.0,21.6281,73841,0.0,0.0,2926,0.0,0.71138,0.0,1.52278,39.0,LVO,12.0,2019-06-04 01:01,2019-06-02 21:15
0.0,8.0,38.0,57.0,Salernitana,0.56792,-16.0,41.0,18.0,1.06174,1.8387,10.0,18.0,10.0,0.0,22.75069,73860,0.0,0.0,3240,0.0,0.7810199999999999,0.0,1.55798,38.0,SAL,8.0,2019-06-04 01:01,2019-06-02 21:15
0.0,13.0,55.0,46.0,US Pescara,0.0,4.0,50.0,9.0,1.044,1.79455,14.0,9.0,14.0,0.0,22.985120000000002,73894,0.0,0.0,3290,0.0,0.7632800000000001,1.0,1.51383,55.0,PES,13.0,2019-06-04 01:01,2019-06-02 21:15
0.0,9.0,60.0,45.0,Benevento,0.0,16.0,61.0,10.0,1.30365,1.57338,17.0,10.0,17.0,0.0,33.05516,73854,0.0,0.0,4059,0.0,1.02293,1.0,1.2926600000000001,60.0,BEN,9.0,2019-06-04 01:01,2019-06-02 21:15
0.0,13.0,49.0,33.0,Cremonese,0.0,4.0,37.0,11.0,0.93509,1.4418799999999998,12.0,11.0,12.0,0.0,25.87943,73886,0.0,0.0,4050,0.0,0.65437,0.0,1.16116,49.0,CRE,13.0,2019-06-04 01:01,2019-06-02 21:15
0.0,15.0,51.0,38.0,Cittadella,0.0,11.0,49.0,9.0,1.29046,1.59358,12.0,9.0,12.0,0.0,32.3504,73877,0.0,0.0,3943,0.0,1.0097399999999999,1.0,1.3128600000000001,51.0,CITT,15.0,2019-06-04 01:01,2019-06-02 21:15
0.0,9.0,51.0,46.0,Spezia,0.0,7.0,53.0,13.0,1.2380799999999998,1.6861400000000002,14.0,13.0,14.0,0.0,29.40152,73895,0.0,0.0,4056,0.0,0.95736,1.0,1.4054200000000001,51.0,SPEZ,9.0,2019-06-04 01:01,2019-06-02 21:15
1.0,13.0,67.0,42.0,Brescia,0.0,27.0,69.0,5.0,1.4388100000000001,1.55072,18.0,5.0,18.0,1.0,36.82135,73851,0.0,1.0,108,0.0,1.15809,0.0,1.27,67.0,BRS,13.0,2019-06-04 01:01,2019-06-02 21:15
0.0,14.0,38.0,46.0,F.B.C Unione Venezia,0.43208,-11.0,35.0,14.0,0.94424,1.78226,8.0,14.0,8.0,0.0,20.79636,78348,0.0,0.0,17530,0.0,0.66352,0.0,1.5015399999999999,38.0,VEN,14.0,2019-06-04 01:01,2019-06-02 21:15
0.0,15.0,43.0,38.0,Palermo,0.0,19.0,57.0,5.0,1.35321,1.55198,16.0,5.0,16.0,0.0,34.69234,73840,0.0,0.0,2923,0.0,1.07249,0.0,1.27126,43.0,PAL,15.0,2019-06-04 01:01,2019-06-02 21:15
0.0,13.0,35.0,49.0,Foggia,1.0,-5.0,44.0,13.0,1.08503,1.68359,10.0,13.0,10.0,0.0,25.70017,84689,0.0,0.0,4054,0.0,0.8043100000000001,0.0,1.40287,35.0,FOG,13.0,2019-06-04 01:01,2019-06-02 21:15
0.0,16.0,31.0,49.0,Padova,1.0,-13.0,36.0,15.0,0.91607,1.7438599999999995,5.0,15.0,5.0,0.0,20.66267,84691,0.0,0.0,3952,0.0,0.63535,0.0,1.46314,31.0,PAD,16.0,2019-06-04 01:01,2019-06-02 21:15
0.0,13.0,43.0,56.0,Ascoli,0.0,-16.0,40.0,13.0,0.94889,1.86841,10.0,13.0,10.0,0.0,19.72525,73887,0.0,0.0,3346,0.0,0.6681699999999999,0.0,1.58769,43.0,ASC,13.0,2019-06-04 01:01,2019-06-02 21:15
0.0,8.0,29.0,67.0,Carpi,1.0,-28.0,39.0,21.0,1.01476,2.12756,7.0,21.0,7.0,0.0,17.894379999999995,98965,0.0,0.0,11126,0.0,0.7340399999999999,0.0,1.84684,29.0,CAR,8.0,2019-06-04 01:01,2019-06-02 21:15
